Airline,Source,Destination,Duration,Total stops,Price,Departure Hour,Departure Min,Arrival Hour,Arrival Min
IndiGo,BOM,CCU,7.25,1,6618,6,5,13,20
IndiGo,BOM,CCU,7.25,1,6819,16,25,23,40
AirAsia India,BOM,CCU,6.75,1,7431,13,5,19,50
AirAsia India,BOM,CCU,7.33,1,7431,13,5,20,25
GoFirst,BOM,CCU,5.67,1,9127,18,0,23,40
Vistara,BOM,CCU,5.67,1,9141,12,25,18,5
Vistara,BOM,CCU,6.17,1,9167,11,55,18,5
Vistara,BOM,CCU,7.0,1,9167,15,45,22,45
Vistara,BOM,CCU,7.17,1,9167,12,25,19,35
Air India,BOM,CCU,6.17,1,10838,13,0,19,10
Air India,BOM,CCU,6.42,1,10838,16,0,22,25
Air India,BOM,CCU,6.5,1,10838,8,0,14,30
IndiGo,BOM,CCU,7.92,1,6588,15,45,23,40
IndiGo,BOM,CCU,8.08,1,6588,11,10,19,15
IndiGo,BOM,CCU,9.33,1,6588,19,55,5,15
IndiGo,BOM,CCU,9.42,1,6588,21,25,6,50
IndiGo,BOM,CCU,10.33,1,6588,12,20,22,40
IndiGo,BOM,CCU,11.17,1,6588,18,5,5,15
IndiGo,BOM,CCU,11.17,1,6588,6,5,17,15
IndiGo,BOM,CCU,10.25,1,6618,9,0,19,15
IndiGo,BOM,CCU,7.67,1,7260,13,55,21,35
AirAsia India,BOM,CCU,7.92,1,7431,18,10,2,5
GoFirst,BOM,CCU,9.08,1,9127,14,35,23,40
GoFirst,BOM,CCU,9.92,1,9127,13,45,23,40
Vistara,BOM,CCU,7.67,1,9167,11,55,19,35
Vistara,BOM,CCU,8.08,1,9167,14,40,22,45
Vistara,BOM,CCU,10.33,1,9167,12,25,22,45
Air India,BOM,CCU,5.25,1,10133,5,25,10,40
Air India,BOM,CCU,7.0,2,10838,15,25,22,25
Air India,BOM,CCU,7.42,2,10838,7,5,14,30
Air India,BOM,CCU,9.42,1,10838,13,0,22,25
Air India,BOM,CCU,9.17,1,11308,10,0,19,10
Vistara,BOM,CCU,9.33,1,11371,8,45,18,5
Vistara,BOM,CCU,7.67,1,11998,10,25,18,5
Vistara,BOM,CCU,9.17,1,12340,10,25,19,35
AirAsia India,BOM,CCU,11.0,1,7431,22,0,9,0
GoFirst,BOM,CCU,10.75,1,7925,21,45,8,30
GoFirst,BOM,CCU,10.33,1,9127,21,30,7,50
GoFirst,BOM,CCU,11.17,1,9127,20,40,7,50
Vistara,BOM,CCU,9.58,1,9167,22,45,8,20
Vistara,BOM,CCU,10.42,1,9167,21,55,8,20
Vistara,BOM,CCU,10.83,1,9167,22,45,9,35
Vistara,BOM,CCU,10.83,1,9167,11,55,22,45
SpiceJet,BOM,CCU,8.5,1,9382,0,35,9,5
GoFirst,BOM,CCU,10.08,1,9581,22,30,8,35
GoFirst,BOM,CCU,10.0,1,10434,22,40,8,40
GoFirst,BOM,CCU,9.33,1,10634,22,30,7,50
GoFirst,BOM,CCU,7.67,1,10832,0,10,7,50
Air India,BOM,CCU,11.17,1,10838,8,0,19,10
GoFirst,BOM,CCU,10.17,1,11238,13,30,23,40
Vistara,BOM,CCU,10.58,1,11371,7,30,18,5
Vistara,BOM,CCU,10.83,1,11371,8,45,19,35
SpiceJet,BOM,CCU,7.75,1,13068,0,35,8,20
IndiGo,BOM,CCU,7.58,1,13256,0,10,7,45
Vistara,BOM,CCU,9.08,1,13459,22,45,7,50
SpiceJet,BOM,CCU,7.25,1,13487,0,35,7,50
Vistara,BOM,CCU,6.33,1,13671,22,45,5,5
IndiGo,BOM,CCU,9.5,1,13801,23,30,9,0
IndiGo,BOM,CCU,8.33,1,14032,23,30,7,50
IndiGo,BOM,CCU,7.58,1,14244,23,30,7,5
GoFirst,BOM,CCU,6.92,1,14515,0,10,7,5
Vistara,BOM,CCU,8.83,2,16726,10,45,19,35
SpiceJet,BOM,CCU,5.33,1,20800,13,10,18,30
SpiceJet,BOM,CCU,10.08,1,21850,8,25,18,30
AirAsia India,BOM,CCU,7.5,2,23420,7,20,14,50
Vistara,BOM,CCU,9.17,2,27583,10,25,19,35
Hahn Air Systems,BOM,CCU,5.92,1,33059,16,0,21,55
Vistara,BOM,CCU,10.5,3,27989,9,5,19,35
Alaska Seaplanes,BOM,CCU,8.5,1,33059,0,35,9,5
Emirates,BOM,CCU,9.92,1,38410,22,20,8,15
Hahn Air Systems,BOM,CCU,10.08,1,42784,8,25,18,30
Singapore Airlines,BOM,CCU,10.83,1,45037,11,45,22,35
Hahn Air Systems,BOM,CCU,9.58,2,50707,10,50,20,25
Hahn Air Systems,BOM,CCU,11.08,2,50707,10,50,21,55
Hahn Air Systems,BOM,CCU,10.67,2,50755,11,15,21,55
Hahn Air Systems,BOM,CCU,11.17,2,59384,7,20,18,30
GoFirst,BOM,CCU,2.67,0,5987,5,50,8,30
Vistara,BOM,CCU,2.58,0,6738,17,20,19,55
GoFirst,BOM,CCU,2.67,0,5987,5,50,8,30
Air India,BOM,CCU,2.83,0,6398,6,0,8,50
Vistara,BOM,CCU,2.67,0,7106,7,0,9,40
SpiceJet,BOM,CCU,2.75,0,6081,20,50,23,35
SpiceJet,BOM,CCU,2.75,0,6081,6,10,8,55
